Algorithm,Problem,Population,Crossover,Mutation,Time
nsgaii,ZDT1,100,0.9999464691930013,0.07586967077075592,21222.839813947678
nsgaii,ZDT2,100,0.9917254235394408,0.00013967369462327553,21584.45586705208
nsgaii,ZDT3,100,0.12396609247214169,0.12623382809133074,25875.768764019012
nsgaii,ZDT4,1000,0.9761556492802099,0.004975758215713765,76374.9870095253
nsgaii,ZDT6,1000,0.9719016269821108,0.0043385149414192576,80154.91706514359
moead,ZDT1,1000,0.9999943356610895,0.007263934131803844,12272.346382856369
moead,ZDT2,1000,0.9714833687520863,0.004259203631336097,11467.058502674103
moead,ZDT3,1000,0.9993946751608723,1.5120435751254935e-06,13779.626215219498
moead,ZDT4,1000,0.99798094572719,6.487442835771878e-05,13437.257675170898
moead,ZDT6,100,0.6896579620777541,9.36869829651183e-06,6552.338625669479
moead,WFG1,1000,0.999609039053985,0.19999891400391617,13072.777565479279
moead,WFG2,100,0.1004630792446506,0.1998537094922062,8471.386941671371
moead,WFG3,100,0.9997594672452564,0.1999964961272261,8619.57397699356
moead,WFG4,1000,0.9946426498941084,0.00016547789877876555,13659.163587808609
moead,WFG5,100,0.55,0.1,8201.246196985245
moead,WFG6,100,0.10000618715868424,0.07286486334776612,7984.648094415665
moead,WFG7,100,0.9999450242738748,0.18079019106199387,8933.40597653389
moead,WFG8,100,0.2352128793001653,0.04247634287784057,9424.048005104065
moead,WFG9,100,0.9992213113183407,9.746893019136725e-06,10172.626537799835
nsgaii,WFG1,1000,0.9712807967005068,0.004244703029429215,63749.99081492424
nsgaii,WFG2,100,0.9861789770150609,0.07061816089509458,23772.796520233154
nsgaii,WFG3,100,0.10034300114802835,3.848578077918072e-05,27112.39756822586
nsgaii,WFG4,100,0.43881785243066584,1.5302481475590759e-06,24985.5766787529
nsgaii,WFG5,100,0.10001800796245226,0.04288056251257186,24346.717137813568
nsgaii,WFG6,100,0.5511471360930569,0.10000730022175795,21234.539573192596
nsgaii,WFG7,100,0.5583809659736056,0.07971575949435317,23820.699992895126
nsgaii,WFG8,100,0.49679359930271116,0.06750542924932881,23330.061697006226
nsgaii,WFG9,100,0.5156500608974428,0.14377194122127154,28241.61946797371
nsgaii,IMB1,200,0.3247249623790336,0.06277163746142034,None
omopso,IMB1,100,None,0.0337933992366882,500
nsgaii,IMB1,600,0.1002200182451478,0.005388580621507387,None
omopso,IMB1,700,None,0.07660323162751898,900
nsgaii,IMB1,900,0.10153592671732922,0.032402521840216164,None
omopso,IMB1,100,None,0.19999048277342846,1000
cmpso,DTLZ1,1000,None,0.06415639629278662,500
cmpso,DTLZ6,800,None,0.029099273553016447,300
cmpso,DTLZ5,1000,None,0.03992103349411937,700
cmpso,DTLZ2,1000,None,0.1373092062268746,400
cmpso,DTLZ3,1000,None,0.18143155052793714,800
cmpso,DTLZ4,700,None,0.028694989718766613,300
moead,DTLZ4,100,0.10687375503713581,0.0044516357736802134,None
moead,DTLZ6,100,0.5584665354289726,0.006207883763967793,None
cmpso,DTLZ7,900,None,0.005239176415571634,700
moead,DTLZ5,100,0.8537730930780693,0.19581713156558334,None
moead,DTLZ2,100,0.9662342658106454,0.17633135003334433,None
moead,DTLZ3,1000,0.5363071681374011,0.19362113282547178,None
moead,DTLZ1,1000,0.8112332811814753,0.17577552036054067,None
moead,DTLZ7,100,0.5021906825480998,0.12154250726584055,None
ibea,DTLZ3,600,0.10982787984853697,0.15202585178736416,None
ibea,DTLZ2,600,0.5489760764737858,0.14973027133254024,None
omopso,DTLZ1,600,None,0.03661078685240284,700
ibea,DTLZ5,600,0.7141327373878906,0.012292752266853469,None
omopso,DTLZ3,200,None,0.14841442469014934,200
ibea,DTLZ6,600,0.10982787984853697,0.15202585178736416,None
ibea,DTLZ7,100,0.21511756062238696,0.044117246260894374,None
ibea,DTLZ1,100,0.21511756062238696,0.044117246260894374,None
ibea,DTLZ4,100,0.21511756062238696,0.044117246260894374,None
omopso,DTLZ4,700,None,0.17833027542716384,400
omopso,DTLZ6,600,None,0.18562151934517632,600
omopso,DTLZ2,600,None,0.15202585178736416,100
omopso,DTLZ5,800,None,0.19150764544647442,900
omopso,DTLZ7,600,None,0.1978153474071521,400
nsgaii,DTLZ1,200,0.3742294904818243,0.002037444224493209,None
smpso,DTLZ1,500,None,0.0928468403886932,100
nsgaii,DTLZ2,100,0.11146392597034906,0.11160921120623427,None
nsgaii,DTLZ3,900,0.12406401642482848,0.19724170671976848,None
smpso,DTLZ4,600,None,0.08308910819342948,100
nsgaii,DTLZ4,100,0.4290633462221972,0.157635539207706,None
smpso,DTLZ3,100,None,0.10206327555343007,100
smpso,DTLZ6,1000,None,0.16987308498692963,100
smpso,DTLZ2,400,None,0.0035247068065521027,100
smpso,DTLZ7,300,None,0.11665640763809355,100
nsgaii,DTLZ5,100,0.10025514322339273,0.016512293348001684,None
nsgaii,DTLZ6,1000,0.1039489700489013,0.1211819551717826,None
smpso,DTLZ5,500,None,0.14476124635861715,100
nsgaiii,DTLZ1,400,0.16167266700717564,0.0009115920038869741,None
nsgaii,DTLZ7,100,0.22401701517614714,0.0251214935314535,None
nsgaiii,DTLZ3,1000,0.15233571640980892,0.1972485193254047,None
nsgaiii,DTLZ2,100,0.21563388531665584,0.02679319179265498,None
nsgaiii,DTLZ5,100,0.21511756062238696,0.044117246260894374,None
nsgaiii,DTLZ4,100,0.1463192080173899,0.02344827909604499,None
nsgaiii,DTLZ6,1000,0.16872377101671254,0.112350888630424,None
nsgaiii,DTLZ7,100,0.47396338032948904,0.04862328640230922,None
moead,MOP5,100,0.8134127756021226,0.19211874019032116,None
moead,MOP1,100,0.6151969155458786,2.1609941195941015e-05,None
